text,expertise,risk
"Lately, I can't seem to sleep or rest because my mind won't stop worrying",Mental Health,Medium
Lately I have been feeling that I struggle to say no when people pressure me into things which makes everything worse.,Self-Esteem,Low
Every day it's the same: I feel utterly alone and depressed every single day and I have no support system here.,Mental Health,High
I feel like I cannot understand mathematics concepts and it's completely draining my energy.,Academics,Low
It is hard to admit but I feel completely insecure and unloved when I compare myself online and I have no support system here.,Self-Esteem,Medium
"Lately I have been feeling that I don't want to wake up tomorrow, I want to die which makes everything worse.",Mental Health,Critical
I feel like I am not good enough for any opportunities. I just want things to get better.,Self-Esteem,Medium
It is hard to admit but I am slipping back into deep depression and feel trapped which makes everything worse.,Mental Health,High
"Honestly, I feel locked out of career spaces because I don't have connections which makes everything worse.",Future Planning,Medium
I am struggling because I am being evicted because I cannot pay rent which makes everything worse.,School Fees,High
"Please help, I feel completely insecure and unloved when I compare myself online",Empowerment,Medium
Can anyone advise me? I might drop out of school due to financial struggles. I just want things to get better.,School Fees,Medium
I need to vent: I don't know which career or major to choose which makes everything worse.,Career,Low
Every day it's the same: I cannot afford the textbooks and materials needed for class and I don't know what to do.,School Fees,Medium
"Honestly, I feel embarrassed to ask about changes in my body during puberty. I just want things to get better.",Hygiene,Medium
"Honestly, I want to end my life, everything is too heavy. I just want things to get better.",Mental Health,Critical
Every day it's the same: I am constantly stressed about how to source funds for tuition fees right now.,Financial,Medium
Lately I have been feeling that I struggle to say no when people pressure me into things and it's completely draining my energy.,Empowerment,Low
I need to vent: Everyone else seems so confident and I feel worthless right now.,Empowerment,Medium
"Please help, I am struggling financially to make ends meet each month",School Fees,Medium
I feel like I want to learn how to network professionally within my field and I don't know what to do.,Career,Low
Every day it's the same: I want to believe in myself more but my inner voice is so negative which makes everything worse.,Empowerment,Low
Lately I have been feeling that I am constantly anxious about my future which makes everything worse.,Mental Health,Medium
"Please help, I am trying to figure out what my strengths are and I don't know what to do.",Career,Low
"It is hard to admit but I am thinking about suicide, I can't do this anymore and it's completely draining my energy.",Mental Health,Critical
"To be honest, I can't seem to sleep or rest because my mind won't stop worrying right now.",Mental Health,Medium
"Lately, I feel stuck and hopeless about my career path and I have no support system here.",Career,Medium
"Please help, I am struggling financially to make ends meet each month and it's completely draining my energy.",Financial,Medium
I need to vent: I don't have the skills required to get hired anywhere which makes everything worse.,Career,Medium
"Please help, I have an untreated reproductive tract illness and nowhere to go. I just want things to get better.",Health,High
I feel like I missed my final exams because I lacked basic menstrual health supplies. It is so hard.,Hygiene,High
It is hard to admit but I want to believe in myself more but my inner voice is so negative. I feel stuck.,Self-Esteem,Low
Can anyone advise me? I am constantly stressed about how to source funds for tuition fees and I have no support system here.,School Fees,Medium
It is hard to admit but I have an untreated reproductive tract illness and nowhere to go and I have no support system here.,Health,High
"Honestly, I am failing my end of semester exams. I feel stuck.",Academics,Medium
Lately I have been feeling that I don't know how to prepare for a job interview,Future Planning,Low
"I need to vent: My mind is constantly racing with dark, heavy thoughts. I just want things to get better.",Mental Health,High
It is hard to admit but I am constantly anxious about my future,Mental Health,Medium
"Honestly, I am failing my end of semester exams right now.",Education,Medium
It is hard to admit but I want to build my self-esteem but don't know how,Self-Esteem,Low
I lack clean water for bathing and personal hygiene. It is so hard.,Hygiene,Medium
I need to vent: I struggle to say no when people pressure me into things. It is so hard.,Empowerment,Low
"Honestly, I constantly doubt my abilities and intelligence and it's completely draining my energy.",Self-Esteem,Medium
I don't know how to study effectively for finals and I don't know what to do.,Education,Low
It is hard to admit but There is no clean or private place to change my pads at school. I feel stuck.,Health,Medium
I need to vent: I constantly doubt my abilities and intelligence and it's ruining my life.,Self-Esteem,Medium
"Lately, I am falling behind on my reading list this semester. I just want things to get better.",Education,Low
Lately I have been feeling that I feel pressured to change my appearance just to fit in with others right now.,Self-Esteem,Medium
"I want to end my life, everything is too heavy and I have no support system here.",Mental Health,Critical
I feel like I feel embarrassed to ask about changes in my body during puberty which makes everything worse.,Health,Medium
"Lately, I am thinking about suicide, I can't do this anymore. It is so hard.",Mental Health,Critical
I find it hard to speak up or stand up for myself which makes everything worse.,Empowerment,Low
Lately I have been feeling that I am slipping back into deep depression and feel trapped and it's completely draining my energy.,Mental Health,High
Can anyone advise me? I feel pressured to change my appearance just to fit in with others,Self-Esteem,Medium
Lately I have been feeling that I feel stuck and hopeless about my career path,Future Planning,Medium
I need to vent: I have an untreated reproductive tract illness and nowhere to go and I have no support system here.,Health,High
I feel like I have to drop out entirely because we cannot pay basic living fees and I don't know what to do.,Financial,High
"Please help, I constantly doubt my abilities and intelligence and it's completely draining my energy.",Self-Esteem,Medium
"Honestly, I am thinking about suicide, I can't do this anymore",Mental Health,Critical
I need to vent: I cannot find a job or internship anywhere and I have no support system here.,Future Planning,Medium
"I need to vent: I am thinking about suicide, I can't do this anymore and it's completely draining my energy.",Mental Health,Critical
"Honestly, I don't want to wake up tomorrow, I want to die and I have no support system here.",Mental Health,Critical
I want to believe in myself more but my inner voice is so negative. I feel stuck.,Self-Esteem,Low
Can anyone advise me? I need help building a professional resume and it's ruining my life.,Future Planning,Low
"Please help, I feel invisible when I am in a room full of people and it's ruining my life.",Empowerment,Low
I am trying to figure out what my strengths are and it's ruining my life.,Career,Low
I need to vent: I am trying to figure out what my strengths are right now.,Career,Low
Every day it's the same: I might drop out of school due to financial struggles and I have no support system here.,School Fees,Medium
Every day it's the same: Unemployment is making me feel like a burden which makes everything worse.,Career,Medium
"I am struggling because My mind is constantly racing with dark, heavy thoughts and I don't know what to do.",Mental Health,High
Lately I have been feeling that I want to find a mentor to guide my career right now.,Future Planning,Low
"Honestly, I have a plan to end my life tonight. I feel stuck.",Mental Health,Critical
It is hard to admit but I feel like I am not good enough for any opportunities. It is so hard.,Empowerment,Medium
"To be honest, I am struggling financially to make ends meet each month right now.",School Fees,Medium
"To be honest, I feel locked out of career spaces because I don't have connections right now.",Future Planning,Medium
"Lately, I feel stuck and hopeless about my career path which makes everything worse.",Career,Medium
"Honestly, I want to build my self-esteem but don't know how and I have no support system here.",Self-Esteem,Low
"Lately, I am worried about my physical health and lack of nutrition. I feel stuck.",Hygiene,Medium
I am worried I will never find employment after graduation right now.,Career,Medium
"To be honest, I always seek validation from others to feel good and I have no support system here.",Self-Esteem,Low
Lately I have been feeling that I need advice on reproductive health but have no one to ask,Hygiene,Medium
I cannot afford sanitary pads and miss school every month and it's ruining my life.,Hygiene,High
"Lately, I don't know how to prepare for a job interview. It is so hard.",Career,Low
"Honestly, I feel deeply depressed and hopeless about everything and it's completely draining my energy.",Mental Health,High
It is hard to admit but I cannot afford sanitary pads and miss school every month and I don't know what to do.,Hygiene,High
"Honestly, I feel confused about transitioning from school to the workforce. I just want things to get better.",Future Planning,Low
It is hard to admit but I feel like failing these assignments will ruin my entire future. I just want things to get better.,Academics,Medium
"Lately, I have to drop out entirely because we cannot pay basic living fees and I don't know what to do.",School Fees,High
I need to vent: I can't seem to sleep or rest because my mind won't stop worrying and I have no support system here.,Mental Health,Medium
"Please help, I am struggling to find mentorship opportunities. I feel stuck.",Future Planning,Medium
"To be honest, I am constantly anxious about my future and it's ruining my life.",Mental Health,Medium
I am struggling to find mentorship opportunities and it's completely draining my energy.,Career,Medium
Lately I have been feeling that I feel embarrassed to ask about changes in my body during puberty and it's ruining my life.,Health,Medium
"Lately, I need help building a professional resume which makes everything worse.",Future Planning,Low
"Honestly, We lack basic sanitation facilities in our community and I don't know what to do.",Hygiene,High
I feel invisible when I am in a room full of people,Self-Esteem,Low
It is hard to admit but My anxiety is so bad I can't leave my room and it's completely draining my energy.,Mental Health,High
I need to vent: I am facing extreme financial crisis and debt which makes everything worse.,School Fees,High
"Please help, I have no money to pay for my university school fees",School Fees,Medium
"Honestly, I feel utterly alone and depressed every single day. It is so hard.",Mental Health,High
"To be honest, I struggle to say no when people pressure me into things right now.",Empowerment,Low
I feel like I feel like failing these assignments will ruin my entire future. I just want things to get better.,Education,Medium
"Please help, I always seek validation from others to feel good right now.",Empowerment,Low
I need to vent: My parents cannot afford to sponsor my education anymore which makes everything worse.,School Fees,Medium
I am struggling because I don't know how to study effectively for finals. I feel stuck.,Academics,Low
Every day it's the same: I don't have access to clean drinking water and I am sick,Hygiene,High
"Please help, I feel utterly alone and depressed every single day right now.",Mental Health,High
It is hard to admit but I am being evicted because I cannot pay rent and it's ruining my life.,Financial,High
I am struggling because I don't have access to clean drinking water and I am sick and it's ruining my life.,Health,High
"Please help, I feel nervous about presenting my group project next week. It is so hard.",Education,Low
I am struggling because I am worried I will never find employment after graduation and I have no support system here.,Career,Medium
I am struggling because I feel embarrassed to ask about changes in my body during puberty which makes everything worse.,Hygiene,Medium
I feel like My family has no money for food or basic survival and it's ruining my life.,School Fees,High
Every day it's the same: I don't know how to properly manage my menstrual hygiene which makes everything worse.,Hygiene,Medium
"Lately, There is no clean or private place to change my pads at school. It is so hard.",Health,Medium
Every day it's the same: I am worried I will never find employment after graduation. It is so hard.,Future Planning,Medium
"Please help, I cannot afford sanitary pads and miss school every month and it's completely draining my energy.",Health,High
Every day it's the same: I feel stuck and hopeless about my career path and I have no support system here.,Future Planning,Medium
"Please help, I want to believe in myself more but my inner voice is so negative and I have no support system here.",Self-Esteem,Low
"To be honest, I constantly doubt my abilities and intelligence and I have no support system here.",Empowerment,Medium
Lately I have been feeling that I lack clean water for bathing and personal hygiene right now.,Health,Medium
I need to vent: I am struggling financially to make ends meet each month and it's completely draining my energy.,Financial,Medium
"To be honest, I want to become a stronger, more confident girl and I don't know what to do.",Empowerment,Low
"Please help, I don't know which career or major to choose and I don't know what to do.",Career,Low
I need to vent: I have a severe infection but no access to a clinic and I have no support system here.,Health,High
Can anyone advise me? I don't have the skills required to get hired anywhere. I just want things to get better.,Career,Medium
"Please help, I am planning to harm myself tonight because I cannot take it anymore and I don't know what to do.",Mental Health,Critical
Can anyone advise me? I am body-shamed by my peers and it destroys my confidence and I have no support system here.,Empowerment,Medium
I feel like I hate how I look and feel completely insecure and it's ruining my life.,Self-Esteem,Medium
Can anyone advise me? I feel stuck and hopeless about my career path and it's completely draining my energy.,Future Planning,Medium
It is hard to admit but I feel confused about transitioning from school to the workforce. It is so hard.,Future Planning,Low
"Lately, I feel invisible when I am in a room full of people which makes everything worse.",Self-Esteem,Low
"Can anyone advise me? I am thinking about suicide, I can't do this anymore and I have no support system here.",Mental Health,Critical
"Lately, I feel invisible when I am in a room full of people and it's completely draining my energy.",Empowerment,Low
Lately I have been feeling that I have a severe infection but no access to a clinic and I don't know what to do.,Hygiene,High
"Lately, I feel locked out of career spaces because I don't have connections. It is so hard.",Career,Medium
"To be honest, I feel like failing these assignments will ruin my entire future right now.",Education,Medium
It is hard to admit but Unemployment is making me feel like a burden and it's ruining my life.,Career,Medium
Every day it's the same: I missed my final exams because I lacked basic menstrual health supplies. I feel stuck.,Health,High
My parents cannot afford to sponsor my education anymore right now.,Financial,Medium
"To be honest, I have to drop out entirely because we cannot pay basic living fees and I have no support system here.",School Fees,High
I am struggling because I am struggling financially to make ends meet each month and it's completely draining my energy.,Financial,Medium
Every day it's the same: I feel nervous about presenting my group project next week. I just want things to get better.,Academics,Low
I feel like I feel completely insecure and unloved when I compare myself online which makes everything worse.,Empowerment,Medium
Can anyone advise me? I cannot understand mathematics concepts right now.,Education,Low
I don't have access to clean drinking water and I am sick which makes everything worse.,Hygiene,High
It is hard to admit but I am being evicted because I cannot pay rent. I feel stuck.,School Fees,High
"Please help, I find it hard to concentrate during lectures",Education,Low
Can anyone advise me? I feel locked out of career spaces because I don't have connections right now.,Career,Medium
Can anyone advise me? I am trying to figure out what my strengths are. I just want things to get better.,Future Planning,Low
It is hard to admit but I am struggling to find mentorship opportunities,Future Planning,Medium
"To be honest, Severe panic attacks are making it impossible to breathe. I just want things to get better.",Mental Health,High
"Please help, I want to learn how to network professionally within my field which makes everything worse.",Future Planning,Low
Can anyone advise me? My family has no money for food or basic survival. It is so hard.,School Fees,High
I feel like I am being evicted because I cannot pay rent and it's ruining my life.,Financial,High
I need extra tutoring for my science courses. I just want things to get better.,Education,Low
"Lately, I cannot understand my university coursework and I have no support system here.",Academics,Medium
It is hard to admit but I am worried I will never find employment after graduation right now.,Career,Medium
I need to vent: I missed a few classes and now I am falling behind. It is so hard.,Academics,Low
Every day it's the same: I don't know which career or major to choose and it's ruining my life.,Career,Low
"Honestly, I feel like failing these assignments will ruin my entire future and I don't know what to do.",Academics,Medium
"Honestly, I don't know which career or major to choose and it's ruining my life.",Career,Low
"Honestly, I am being evicted because I cannot pay rent. I feel stuck.",School Fees,High
I have a severe infection but no access to a clinic and it's completely draining my energy.,Hygiene,High
"Lately, I don't have the skills required to get hired anywhere and I have no support system here.",Career,Medium
It is hard to admit but I don't know how to prepare for a job interview which makes everything worse.,Future Planning,Low
Every day it's the same: My family has no money for food or basic survival and I have no support system here.,Financial,High
I am struggling because I find it hard to speak up or stand up for myself. I feel stuck.,Empowerment,Low
"Lately, Severe panic attacks are making it impossible to breathe and I have no support system here.",Mental Health,High
Lately I have been feeling that I feel locked out of career spaces because I don't have connections and it's completely draining my energy.,Future Planning,Medium
Can anyone advise me? I am trying to figure out what my strengths are,Career,Low
I am struggling because I lack clean water for bathing and personal hygiene and it's ruining my life.,Hygiene,Medium
"It is hard to admit but I am thinking about suicide, I can't do this anymore and it's ruining my life.",Mental Health,Critical
"Honestly, Everyone else seems so confident and I feel worthless and it's ruining my life.",Self-Esteem,Medium
I feel like Unemployment is making me feel like a burden. It is so hard.,Career,Medium
"I want to become a stronger, more confident girl and it's ruining my life.",Self-Esteem,Low
Lately I have been feeling that I don't know how to prepare for a job interview. It is so hard.,Career,Low
I need to vent: Everyone else seems so confident and I feel worthless. I just want things to get better.,Self-Esteem,Medium
"To be honest, I dropped out of school because it was too difficult and it's ruining my life.",Academics,Medium
Lately I have been feeling that I am being evicted because I cannot pay rent and it's ruining my life.,School Fees,High
I am constantly anxious about my future,Mental Health,Medium
I feel like I am worried I will never find employment after graduation and I have no support system here.,Career,Medium
"To be honest, I keep getting poor grades despite trying my best and I have no support system here.",Education,Medium
"To be honest, I feel invisible when I am in a room full of people and I don't know what to do.",Self-Esteem,Low
"Honestly, I might drop out of school due to financial struggles and I have no support system here.",School Fees,Medium
Every day it's the same: I am struggling with my academic performance this term and it's ruining my life.,Academics,Medium
I need to vent: I am struggling to find any motivation to get out of bed which makes everything worse.,Mental Health,Medium
It is hard to admit but I cannot afford the textbooks and materials needed for class and it's ruining my life.,Financial,Medium
"Honestly, I cannot find a job or internship anywhere right now.",Career,Medium
It is hard to admit but I constantly doubt my abilities and intelligence. I just want things to get better.,Self-Esteem,Medium
I feel like I want to build my self-esteem but don't know how. I just want things to get better.,Empowerment,Low
"To be honest, I dropped out of school because it was too difficult right now.",Academics,Medium
"To be honest, I've been crying for days and I feel completely empty and I don't know what to do.",Mental Health,High
"Honestly, I am failing my end of semester exams and I don't know what to do.",Education,Medium
"To be honest, I don't know how to study effectively for finals which makes everything worse.",Academics,Low
Can anyone advise me? I am being evicted because I cannot pay rent and I have no support system here.,School Fees,High
"To be honest, I am body-shamed by my peers and it destroys my confidence. I feel stuck.",Self-Esteem,Medium
I am body-shamed by my peers and it destroys my confidence and it's completely draining my energy.,Empowerment,Medium
"Lately, I am body-shamed by my peers and it destroys my confidence which makes everything worse.",Self-Esteem,Medium
Every day it's the same: I am trying to figure out what my strengths are and it's completely draining my energy.,Future Planning,Low
I hate how I look and feel completely insecure. I just want things to get better.,Self-Esteem,Medium
"Please help, I have no money to pay for my university school fees",Financial,Medium
Can anyone advise me? I cannot find a job or internship anywhere and I don't know what to do.,Career,Medium
There is no clean or private place to change my pads at school which makes everything worse.,Health,Medium
Can anyone advise me? I am constantly stressed about how to source funds for tuition fees. It is so hard.,Financial,Medium
It is hard to admit but I need reliable information on contraceptive methods,Health,Medium
"Please help, I want to learn how to network professionally within my field. I just want things to get better.",Career,Low
I feel like I am falling behind on my reading list this semester. I feel stuck.,Academics,Low
"Honestly, I need extra tutoring for my science courses right now.",Academics,Low
I am struggling because I don't have the skills required to get hired anywhere and I don't know what to do.,Future Planning,Medium
I feel like I have an outstanding balance and won't be allowed to register and I don't know what to do.,Financial,Medium
I feel like I have to drop out entirely because we cannot pay basic living fees which makes everything worse.,School Fees,High
"Please help, The pressure to pass my classes is overwhelming me",Education,Medium
I need to vent: I am struggling to find any motivation to get out of bed,Mental Health,Medium
Can anyone advise me? My family has no money for food or basic survival and it's completely draining my energy.,School Fees,High
I need to vent: I cannot understand my university coursework and I don't know what to do.,Academics,Medium
I feel like I am constantly stressed about how to source funds for tuition fees and I don't know what to do.,Financial,Medium
I feel like I want to build my self-esteem but don't know how and it's ruining my life.,Empowerment,Low
I need to vent: The pressure to pass my classes is overwhelming me which makes everything worse.,Education,Medium
I feel like I feel like I am not good enough for any opportunities. I feel stuck.,Empowerment,Medium
It is hard to admit but I have a plan to end my life tonight right now.,Mental Health,Critical
"To be honest, I might drop out of school due to financial struggles and I have no support system here.",Financial,Medium
"Every day it's the same: I want to end my life, everything is too heavy and I don't know what to do.",Mental Health,Critical
Every day it's the same: I feel completely insecure and unloved when I compare myself online. I feel stuck.,Self-Esteem,Medium
Every day it's the same: I have an untreated reproductive tract illness and nowhere to go and I don't know what to do.,Health,High
"Lately, I want to learn how to network professionally within my field. I feel stuck.",Career,Low
I am struggling because I struggle to say no when people pressure me into things. I just want things to get better.,Self-Esteem,Low
I am struggling because I feel like failing these assignments will ruin my entire future. I just want things to get better.,Education,Medium
I feel like Everyone else seems so confident and I feel worthless. It is so hard.,Self-Esteem,Medium
Lately I have been feeling that I always seek validation from others to feel good and it's ruining my life.,Empowerment,Low
I feel like I am trying to figure out what my strengths are and I don't know what to do.,Career,Low
"Lately, I am facing extreme financial crisis and debt and I have no support system here.",Financial,High
I don't know how to study effectively for finals and it's completely draining my energy.,Education,Low
I am struggling because I have to drop out entirely because we cannot pay basic living fees. I just want things to get better.,School Fees,High
Can anyone advise me? I feel like I am not good enough for any opportunities and it's completely draining my energy.,Empowerment,Medium
I need to vent: I feel pressured to change my appearance just to fit in with others which makes everything worse.,Empowerment,Medium
I am struggling because I missed a few classes and now I am falling behind. I just want things to get better.,Academics,Low
Lately I have been feeling that I am falling behind on my reading list this semester. I feel stuck.,Academics,Low
I need to vent: I might drop out of school due to financial struggles and it's ruining my life.,Financial,Medium
Lately I have been feeling that The pain is too much and I want to commit suicide. It is so hard.,Mental Health,Critical
"Honestly, I want to find a mentor to guide my career and it's completely draining my energy.",Career,Low
"To be honest, I need advice on reproductive health but have no one to ask and it's ruining my life.",Health,Medium
"To be honest, Unemployment is making me feel like a burden. I feel stuck.",Future Planning,Medium
"Lately, My parents cannot afford to sponsor my education anymore and I don't know what to do.",School Fees,Medium
I feel like I am not good enough for any opportunities and I don't know what to do.,Empowerment,Medium
It is hard to admit but I missed my final exams because I lacked basic menstrual health supplies and I don't know what to do.,Health,High
"Honestly, I am being evicted because I cannot pay rent. I feel stuck.",Financial,High
Can anyone advise me? I cannot afford sanitary pads and miss school every month and it's completely draining my energy.,Health,High
Lately I have been feeling that I missed a few classes and now I am falling behind and I don't know what to do.,Academics,Low
Every day it's the same: I am constantly anxious about my future. It is so hard.,Mental Health,Medium
Every day it's the same: I don't have access to clean drinking water and I am sick right now.,Health,High
Lately I have been feeling that I need reliable information on contraceptive methods right now.,Health,Medium
I need to vent: I am worried about my physical health and lack of nutrition right now.,Hygiene,Medium
I am struggling because I dropped out of school because it was too difficult and it's completely draining my energy.,Academics,Medium
Every day it's the same: I feel pressured to change my appearance just to fit in with others,Empowerment,Medium
"Please help, I am constantly stressed about how to source funds for tuition fees and I have no support system here.",Financial,Medium
Lately I have been feeling that I cannot find a job or internship anywhere,Future Planning,Medium
"To be honest, I have a severe infection but no access to a clinic right now.",Hygiene,High
I feel like I have a severe infection but no access to a clinic right now.,Health,High
"Lately, I don't want to wake up tomorrow, I want to die and it's completely draining my energy.",Mental Health,Critical
Can anyone advise me? I am falling behind on my reading list this semester and it's ruining my life.,Education,Low
"Please help, I have an untreated reproductive tract illness and nowhere to go and it's ruining my life.",Health,High
Can anyone advise me? I am being evicted because I cannot pay rent. I just want things to get better.,School Fees,High
Can anyone advise me? We lack basic sanitation facilities in our community and it's ruining my life.,Hygiene,High
"To be honest, I might drop out of school due to financial struggles. I just want things to get better.",Financial,Medium
I am struggling because I need advice on reproductive health but have no one to ask. I feel stuck.,Health,Medium
I need reliable information on contraceptive methods and I have no support system here.,Health,Medium
It is hard to admit but I am constantly stressed about how to source funds for tuition fees. It is so hard.,School Fees,Medium
I need to vent: I missed my final exams because I lacked basic menstrual health supplies. I just want things to get better.,Health,High
I am struggling because I have an untreated reproductive tract illness and nowhere to go,Health,High
"To be honest, I need extra tutoring for my science courses",Education,Low
I need to vent: I feel nervous about presenting my group project next week. It is so hard.,Academics,Low
