text,expertise,risk
It is hard to admit but I don't have access to clean drinking water and I am sick. It is so hard.,Hygiene & Health,High
It is hard to admit but I've been crying for days and I feel completely empty and it's completely draining my energy.,Mental Health,High
I am slipping back into deep depression and feel trapped and it's completely draining my energy.,Mental Health,High
"Honestly, I am thinking about suicide, I can't do this anymore. It is so hard.",Mental Health,Critical
I am struggling because I am failing my end of semester exams which makes everything worse.,Education & Academics,Medium
I need to vent: I struggle to say no when people pressure me into things and I have no support system here.,Self-Esteem & Empowerment,Low
"Please help, I feel deeply depressed and hopeless about everything and I have no support system here.",Mental Health,High
"I am struggling because I want to end my life, everything is too heavy. I feel stuck.",Mental Health,Critical
"Lately, I always seek validation from others to feel good and I have no support system here.",Self-Esteem & Empowerment,Low
Lately I have been feeling that I need help building a professional resume which makes everything worse.,Career & Future,Low
I need to vent: I feel so overwhelmed by my emotions and regular stress. I feel stuck.,Mental Health,Medium
I feel like failing these assignments will ruin my entire future. I just want things to get better.,Education & Academics,Medium
I feel locked out of career spaces because I don't have connections right now.,Career & Future,Medium
I feel deeply depressed and hopeless about everything. I just want things to get better.,Mental Health,High
I feel like I struggle to say no when people pressure me into things and it's completely draining my energy.,Self-Esteem & Empowerment,Low
I can't seem to sleep or rest because my mind won't stop worrying and it's completely draining my energy.,Mental Health,Medium
"Please help, I feel utterly alone and depressed every single day and it's ruining my life.",Mental Health,High
"Honestly, I want to learn how to network professionally within my field. It is so hard.",Career & Future,Low
"Honestly, I constantly doubt my abilities and intelligence. I just want things to get better.",Self-Esteem & Empowerment,Medium
Can anyone advise me? I find it hard to concentrate during lectures. I just want things to get better.,Education & Academics,Low
Can anyone advise me? I feel completely hopeless and want to end it all and it's ruining my life.,Mental Health,Critical
Lately I have been feeling that I feel like I am not good enough for any opportunities. I just want things to get better.,Self-Esteem & Empowerment,Medium
I feel like I don't know how to prepare for a job interview right now.,Career & Future,Low
I need to vent: I am falling behind on my reading list this semester right now.,Education & Academics,Low
"Lately, I cannot understand mathematics concepts and I have no support system here.",Education & Academics,Low
Lately I have been feeling that I cannot control my mood swings lately. I feel stuck.,Mental Health,Medium
"To be honest, I always seek validation from others to feel good and it's ruining my life.",Self-Esteem & Empowerment,Low
"It is hard to admit but I am thinking about suicide, I can't do this anymore. I just want things to get better.",Mental Health,Critical
"Honestly, I don't know how to prepare for a job interview and it's ruining my life.",Career & Future,Low
I need to vent: I am worried I will never find employment after graduation and it's completely draining my energy.,Career & Future,Medium
"Please help, I am falling behind on my reading list this semester right now.",Education & Academics,Low
I need to vent: My anxiety is so bad I can't leave my room right now.,Mental Health,High
"Please help, I cannot afford sanitary pads and miss school every month which makes everything worse.",Hygiene & Health,High
Every day it's the same: I feel locked out of career spaces because I don't have connections. I feel stuck.,Career & Future,Medium
Lately I have been feeling that My family has no money for food or basic survival and it's completely draining my energy.,Financial & School Fees,High
"Lately I have been feeling that I am thinking about suicide, I can't do this anymore and it's completely draining my energy.",Mental Health,Critical
Lately I have been feeling that We lack basic sanitation facilities in our community and it's ruining my life.,Hygiene & Health,High
"Lately, I feel stressed out and overwhelmed by life and it's ruining my life.",Mental Health,Medium
"Every day it's the same: My mind is constantly racing with dark, heavy thoughts and it's completely draining my energy.",Mental Health,High
"Lately, I feel so overwhelmed by my emotions and regular stress. I feel stuck.",Mental Health,Medium
I need to vent: I am being evicted because I cannot pay rent right now.,Financial & School Fees,High
It is hard to admit but I feel stuck and hopeless about my career path. I feel stuck.,Career & Future,Medium
"Honestly, I am planning to harm myself tonight because I cannot take it anymore and I have no support system here.",Mental Health,Critical
I don't have access to clean drinking water and I am sick,Hygiene & Health,High
"Please help, I need advice on reproductive health but have no one to ask. I feel stuck.",Hygiene & Health,Medium
Every day it's the same: I can't seem to sleep or rest because my mind won't stop worrying which makes everything worse.,Mental Health,Medium
Every day it's the same: I don't know which career or major to choose and I have no support system here.,Career & Future,Low
I need help building a professional resume and it's ruining my life.,Career & Future,Low
Every day it's the same: I've been crying for days and I feel completely empty and I don't know what to do.,Mental Health,High
I feel like I am trying to figure out what my strengths are and I don't know what to do.,Career & Future,Low
"Please help, I feel completely insecure and unloved when I compare myself online",Self-Esteem & Empowerment,Medium
"To be honest, I am facing severe period poverty and using unsafe alternatives",Hygiene & Health,High
I need to vent: I am worried about my physical health and lack of nutrition. It is so hard.,Hygiene & Health,Medium
"Honestly, I am struggling financially to make ends meet each month right now.",Financial & School Fees,Medium
I am struggling because I need help building a professional resume. I just want things to get better.,Career & Future,Low
I need to vent: I feel so overwhelmed by my emotions and regular stress and I don't know what to do.,Mental Health,Medium
I am struggling because I cannot understand my university coursework,Education & Academics,Medium
Every day it's the same: I cannot understand my university coursework right now.,Education & Academics,Medium
Lately I have been feeling that I am body-shamed by my peers and it destroys my confidence. It is so hard.,Self-Esteem & Empowerment,Medium
"Please help, I feel nervous about presenting my group project next week and it's ruining my life.",Education & Academics,Low
There is no clean or private place to change my pads at school which makes everything worse.,Hygiene & Health,Medium
I need to vent: I don't know how to study effectively for finals which makes everything worse.,Education & Academics,Low
"Lately, I lack clean water for bathing and personal hygiene. It is so hard.",Hygiene & Health,Medium
I don't know how to study effectively for finals. It is so hard.,Education & Academics,Low
"To be honest, I constantly doubt my abilities and intelligence. I feel stuck.",Self-Esteem & Empowerment,Medium
"Lately, My anxiety is so bad I can't leave my room right now.",Mental Health,High
I feel like I might drop out of school due to financial struggles and I have no support system here.,Financial & School Fees,Medium
I feel like I am constantly stressed about how to source funds for tuition fees right now.,Financial & School Fees,Medium
"Honestly, I don't want to wake up tomorrow, I want to die. I feel stuck.",Mental Health,Critical
Can anyone advise me? I cannot understand my university coursework. I feel stuck.,Education & Academics,Medium
"Honestly, The pain is too much and I want to commit suicide. I just want things to get better.",Mental Health,Critical
"To be honest, I feel completely insecure and unloved when I compare myself online right now.",Self-Esteem & Empowerment,Medium
Can anyone advise me? I feel completely insecure and unloved when I compare myself online and it's completely draining my energy.,Self-Esteem & Empowerment,Medium
I am struggling because I am constantly anxious about my future. I just want things to get better.,Mental Health,Medium
"Lately, I am struggling with my academic performance this term",Education & Academics,Medium
I feel completely insecure and unloved when I compare myself online and it's completely draining my energy.,Self-Esteem & Empowerment,Medium
Lately I have been feeling that I am worried I will never find employment after graduation. It is so hard.,Career & Future,Medium
I am struggling because I need reliable information on contraceptive methods and it's ruining my life.,Hygiene & Health,Medium
"To be honest, I am struggling financially to make ends meet each month. I just want things to get better.",Financial & School Fees,Medium
Lately I have been feeling that I have an untreated reproductive tract illness and nowhere to go and it's ruining my life.,Hygiene & Health,High
I feel like We lack basic sanitation facilities in our community. I feel stuck.,Hygiene & Health,High
I am struggling because I am struggling financially to make ends meet each month right now.,Financial & School Fees,Medium
Every day it's the same: I constantly doubt my abilities and intelligence. I feel stuck.,Self-Esteem & Empowerment,Medium
"Please help, I don't know which career or major to choose. It is so hard.",Career & Future,Low
Lately I have been feeling that I feel like I am not good enough for any opportunities and I have no support system here.,Self-Esteem & Empowerment,Medium
Every day it's the same: I am constantly stressed about how to source funds for tuition fees and I don't know what to do.,Financial & School Fees,Medium
Can anyone advise me? My family has no money for food or basic survival. I feel stuck.,Financial & School Fees,High
I feel like I constantly doubt my abilities and intelligence,Self-Esteem & Empowerment,Medium
"Lately, We lack basic sanitation facilities in our community. It is so hard.",Hygiene & Health,High
Can anyone advise me? I feel completely insecure and unloved when I compare myself online. I just want things to get better.,Self-Esteem & Empowerment,Medium
"To be honest, I cannot afford the textbooks and materials needed for class which makes everything worse.",Financial & School Fees,Medium
It is hard to admit but I want to build my self-esteem but don't know how. It is so hard.,Self-Esteem & Empowerment,Low
It is hard to admit but Unemployment is making me feel like a burden and I don't know what to do.,Career & Future,Medium
"Honestly, My parents cannot afford to sponsor my education anymore. I feel stuck.",Financial & School Fees,Medium
Lately I have been feeling that Unemployment is making me feel like a burden. I just want things to get better.,Career & Future,Medium
"Honestly, I need advice on reproductive health but have no one to ask. It is so hard.",Hygiene & Health,Medium
"Lately, I am constantly stressed about how to source funds for tuition fees. It is so hard.",Financial & School Fees,Medium
"Please help, The pressure to pass my classes is overwhelming me",Education & Academics,Medium
I need to vent: I feel completely hopeless and want to end it all which makes everything worse.,Mental Health,Critical
"Honestly, My family has no money for food or basic survival which makes everything worse.",Financial & School Fees,High
Every day it's the same: I am struggling with my academic performance this term and I have no support system here.,Education & Academics,Medium
I am struggling because I cannot find a job or internship anywhere. It is so hard.,Career & Future,Medium
Lately I have been feeling that I am struggling to find any motivation to get out of bed,Mental Health,Medium
"I am struggling because My mind is constantly racing with dark, heavy thoughts. It is so hard.",Mental Health,High
Every day it's the same: I cannot understand my university coursework and it's completely draining my energy.,Education & Academics,Medium
I feel invisible when I am in a room full of people and it's completely draining my energy.,Self-Esteem & Empowerment,Low
"Honestly, I find it hard to concentrate during lectures which makes everything worse.",Education & Academics,Low
It is hard to admit but I feel stressed out and overwhelmed by life and it's completely draining my energy.,Mental Health,Medium
Can anyone advise me? I need help building a professional resume right now.,Career & Future,Low
Can anyone advise me? I want to build my self-esteem but don't know how and it's completely draining my energy.,Self-Esteem & Empowerment,Low
I feel like I feel pressured to change my appearance just to fit in with others which makes everything worse.,Self-Esteem & Empowerment,Medium
"Lately, I find it hard to speak up or stand up for myself. It is so hard.",Self-Esteem & Empowerment,Low
"Lately, I have no money to pay for my university school fees and it's completely draining my energy.",Financial & School Fees,Medium
Lately I have been feeling that I want to believe in myself more but my inner voice is so negative. It is so hard.,Self-Esteem & Empowerment,Low
It is hard to admit but I don't have access to clean drinking water and I am sick and it's ruining my life.,Hygiene & Health,High
I need to vent: I cannot afford sanitary pads and miss school every month. I feel stuck.,Hygiene & Health,High
"To be honest, I need advice on reproductive health but have no one to ask and it's completely draining my energy.",Hygiene & Health,Medium
"Please help, I feel utterly alone and depressed every single day and I don't know what to do.",Mental Health,High
I am struggling because I missed a few classes and now I am falling behind and I don't know what to do.,Education & Academics,Low
"Honestly, I feel like failing these assignments will ruin my entire future and I have no support system here.",Education & Academics,Medium
"To be honest, I am body-shamed by my peers and it destroys my confidence and it's completely draining my energy.",Self-Esteem & Empowerment,Medium
I am struggling because I feel invisible when I am in a room full of people,Self-Esteem & Empowerment,Low
I am struggling because I keep getting poor grades despite trying my best and I have no support system here.,Education & Academics,Medium
Every day it's the same: I am trying to figure out what my strengths are,Career & Future,Low
I am struggling because I want to find a mentor to guide my career which makes everything worse.,Career & Future,Low
"To be honest, I want to end my life, everything is too heavy. I feel stuck.",Mental Health,Critical
I am struggling because I hate how I look and feel completely insecure and it's completely draining my energy.,Self-Esteem & Empowerment,Medium
Can anyone advise me? I feel locked out of career spaces because I don't have connections. It is so hard.,Career & Future,Medium
I need to vent: I want to believe in myself more but my inner voice is so negative. I feel stuck.,Self-Esteem & Empowerment,Low
It is hard to admit but I feel completely insecure and unloved when I compare myself online,Self-Esteem & Empowerment,Medium
"To be honest, I hate how I look and feel completely insecure and I have no support system here.",Self-Esteem & Empowerment,Medium
It is hard to admit but I am failing my end of semester exams and I don't know what to do.,Education & Academics,Medium
I feel like I am facing extreme financial crisis and debt,Financial & School Fees,High
Can anyone advise me? Everyone else seems so confident and I feel worthless. I just want things to get better.,Self-Esteem & Empowerment,Medium
My parents cannot afford to sponsor my education anymore and it's ruining my life.,Financial & School Fees,Medium
I am struggling because I might drop out of school due to financial struggles and I don't know what to do.,Financial & School Fees,Medium
"Please help, I feel invisible when I am in a room full of people",Self-Esteem & Empowerment,Low
I am struggling because I am falling behind on my reading list this semester right now.,Education & Academics,Low
It is hard to admit but I feel like failing these assignments will ruin my entire future right now.,Education & Academics,Medium
I am struggling because I don't know how to properly manage my menstrual hygiene. I feel stuck.,Hygiene & Health,Medium
"Lately, I feel like I am not good enough for any opportunities and it's ruining my life.",Self-Esteem & Empowerment,Medium
"I want to become a stronger, more confident girl and it's completely draining my energy.",Self-Esteem & Empowerment,Low
"To be honest, I am planning to harm myself tonight because I cannot take it anymore. It is so hard.",Mental Health,Critical
"Honestly, I cannot afford the textbooks and materials needed for class",Financial & School Fees,Medium
"I need to vent: I don't want to wake up tomorrow, I want to die. It is so hard.",Mental Health,Critical
Can anyone advise me? I have a plan to end my life tonight and I don't know what to do.,Mental Health,Critical
"Please help, I cannot understand mathematics concepts which makes everything worse.",Education & Academics,Low
"Honestly, I am struggling financially to make ends meet each month. I just want things to get better.",Financial & School Fees,Medium
It is hard to admit but I feel like failing these assignments will ruin my entire future. I feel stuck.,Education & Academics,Medium
"Please help, I feel embarrassed to ask about changes in my body during puberty. I just want things to get better.",Hygiene & Health,Medium
Every day it's the same: I am being evicted because I cannot pay rent and it's ruining my life.,Financial & School Fees,High
"Lately, I can't seem to sleep or rest because my mind won't stop worrying and it's ruining my life.",Mental Health,Medium
I am trying to figure out what my strengths are. I feel stuck.,Career & Future,Low
Lately I have been feeling that I want to find a mentor to guide my career and I have no support system here.,Career & Future,Low
Every day it's the same: Everyone else seems so confident and I feel worthless. It is so hard.,Self-Esteem & Empowerment,Medium
Can anyone advise me? I've been crying for days and I feel completely empty. It is so hard.,Mental Health,High
"Every day it's the same: My mind is constantly racing with dark, heavy thoughts. I feel stuck.",Mental Health,High
Can anyone advise me? I have an outstanding balance and won't be allowed to register and it's ruining my life.,Financial & School Fees,Medium
I don't know how to prepare for a job interview right now.,Career & Future,Low
I am struggling because I am worried I will never find employment after graduation right now.,Career & Future,Medium
I feel like My anxiety is so bad I can't leave my room right now.,Mental Health,High
"I am struggling because I am thinking about suicide, I can't do this anymore which makes everything worse.",Mental Health,Critical
"I am struggling because My mind is constantly racing with dark, heavy thoughts right now.",Mental Health,High
It is hard to admit but I have no money to pay for my university school fees and I don't know what to do.,Financial & School Fees,Medium
"Please help, I feel completely insecure and unloved when I compare myself online and it's completely draining my energy.",Self-Esteem & Empowerment,Medium
"Lately, I cannot afford the textbooks and materials needed for class. I just want things to get better.",Financial & School Fees,Medium
It is hard to admit but I am worried I will never find employment after graduation which makes everything worse.,Career & Future,Medium
Every day it's the same: I feel completely insecure and unloved when I compare myself online. I just want things to get better.,Self-Esteem & Empowerment,Medium
"To be honest, I feel nervous about presenting my group project next week. It is so hard.",Education & Academics,Low
"Lately, Severe panic attacks are making it impossible to breathe which makes everything worse.",Mental Health,High
It is hard to admit but I find it hard to concentrate during lectures. I just want things to get better.,Education & Academics,Low
Lately I have been feeling that My family has no money for food or basic survival and I have no support system here.,Financial & School Fees,High
I don't know how to properly manage my menstrual hygiene which makes everything worse.,Hygiene & Health,Medium
"Please help, I missed my final exams because I lacked basic menstrual health supplies which makes everything worse.",Hygiene & Health,High
"To be honest, I feel like failing these assignments will ruin my entire future. I feel stuck.",Education & Academics,Medium
"Lately, I don't know how to properly manage my menstrual hygiene. I just want things to get better.",Hygiene & Health,Medium
I feel like I don't have access to clean drinking water and I am sick,Hygiene & Health,High
I need to vent: I am struggling to find mentorship opportunities and it's ruining my life.,Career & Future,Medium
Every day it's the same: I cannot understand mathematics concepts and I have no support system here.,Education & Academics,Low
I feel like I want to believe in myself more but my inner voice is so negative. It is so hard.,Self-Esteem & Empowerment,Low
"Lately I have been feeling that I want to become a stronger, more confident girl which makes everything worse.",Self-Esteem & Empowerment,Low
I find it hard to speak up or stand up for myself and it's ruining my life.,Self-Esteem & Empowerment,Low
I need to vent: I have a severe infection but no access to a clinic and I have no support system here.,Hygiene & Health,High
"Lately, I find it hard to concentrate during lectures. I just want things to get better.",Education & Academics,Low
It is hard to admit but I feel embarrassed to ask about changes in my body during puberty and it's completely draining my energy.,Hygiene & Health,Medium
"To be honest, I don't have the skills required to get hired anywhere and I have no support system here.",Career & Future,Medium
"To be honest, I don't know which career or major to choose right now.",Career & Future,Low
"Lately, I always seek validation from others to feel good. I feel stuck.",Self-Esteem & Empowerment,Low
I need to vent: I need extra tutoring for my science courses and it's ruining my life.,Education & Academics,Low
"To be honest, I am struggling with my academic performance this term and it's ruining my life.",Education & Academics,Medium
Every day it's the same: I am worried I will never find employment after graduation and I don't know what to do.,Career & Future,Medium
I need to vent: I am struggling with my academic performance this term which makes everything worse.,Education & Academics,Medium
Every day it's the same: I don't have access to clean drinking water and I am sick. I just want things to get better.,Hygiene & Health,High
Can anyone advise me? I don't have the skills required to get hired anywhere. I feel stuck.,Career & Future,Medium
I need to vent: I am slipping back into deep depression and feel trapped. I feel stuck.,Mental Health,High
"To be honest, I missed a few classes and now I am falling behind and I don't know what to do.",Education & Academics,Low
We lack basic sanitation facilities in our community and it's completely draining my energy.,Hygiene & Health,High
"Lately, I cannot control my mood swings lately",Mental Health,Medium
I feel like I am planning to harm myself tonight because I cannot take it anymore. I feel stuck.,Mental Health,Critical
"My mind is constantly racing with dark, heavy thoughts. I just want things to get better.",Mental Health,High
It is hard to admit but I cannot afford sanitary pads and miss school every month which makes everything worse.,Hygiene & Health,High
"To be honest, I want to build my self-esteem but don't know how and I don't know what to do.",Self-Esteem & Empowerment,Low
"Lately, I am planning to harm myself tonight because I cannot take it anymore which makes everything worse.",Mental Health,Critical
"Honestly, I am constantly anxious about my future and I have no support system here.",Mental Health,Medium
"Honestly, I want to believe in myself more but my inner voice is so negative. I just want things to get better.",Self-Esteem & Empowerment,Low
Lately I have been feeling that I have to drop out entirely because we cannot pay basic living fees,Financial & School Fees,High
"Please help, I feel so overwhelmed by my emotions and regular stress. I just want things to get better.",Mental Health,Medium
"Honestly, We lack basic sanitation facilities in our community. It is so hard.",Hygiene & Health,High
I feel like I feel very lonely and isolated from my friends and I have no support system here.,Mental Health,Medium
Can anyone advise me? I am being evicted because I cannot pay rent. I just want things to get better.,Financial & School Fees,High
I feel like I don't know how to study effectively for finals and I have no support system here.,Education & Academics,Low
It is hard to admit but I find it hard to speak up or stand up for myself. I feel stuck.,Self-Esteem & Empowerment,Low
I am struggling because I feel confused about transitioning from school to the workforce. I feel stuck.,Career & Future,Low
Can anyone advise me? I don't know how to prepare for a job interview,Career & Future,Low
Every day it's the same: My family has no money for food or basic survival and it's ruining my life.,Financial & School Fees,High
Lately I have been feeling that I keep getting poor grades despite trying my best. It is so hard.,Education & Academics,Medium
Lately I have been feeling that I am falling behind on my reading list this semester and it's ruining my life.,Education & Academics,Low
I need to vent: I can't seem to sleep or rest because my mind won't stop worrying and I don't know what to do.,Mental Health,Medium
"Honestly, I don't know which career or major to choose and I don't know what to do.",Career & Future,Low
"I am struggling because I want to end my life, everything is too heavy which makes everything worse.",Mental Health,Critical
It is hard to admit but I want to learn how to network professionally within my field. I feel stuck.,Career & Future,Low
I need to vent: The pain is too much and I want to commit suicide. I feel stuck.,Mental Health,Critical
Every day it's the same: I cannot afford sanitary pads and miss school every month which makes everything worse.,Hygiene & Health,High
Lately I have been feeling that I've been crying for days and I feel completely empty. It is so hard.,Mental Health,High
Lately I have been feeling that I am falling behind on my reading list this semester. I just want things to get better.,Education & Academics,Low
I need to vent: My parents cannot afford to sponsor my education anymore and I have no support system here.,Financial & School Fees,Medium
I feel like I am constantly anxious about my future. It is so hard.,Mental Health,Medium
"Please help, I might drop out of school due to financial struggles. I feel stuck.",Financial & School Fees,Medium
"Honestly, I am struggling to find any motivation to get out of bed",Mental Health,Medium
"Lately, I am failing my end of semester exams. I just want things to get better.",Education & Academics,Medium
"Lately, I don't know how to prepare for a job interview which makes everything worse.",Career & Future,Low
It is hard to admit but I feel very lonely and isolated from my friends. I feel stuck.,Mental Health,Medium
"Lately, I constantly doubt my abilities and intelligence and it's completely draining my energy.",Self-Esteem & Empowerment,Medium
It is hard to admit but I feel locked out of career spaces because I don't have connections which makes everything worse.,Career & Future,Medium
Can anyone advise me? I feel utterly alone and depressed every single day,Mental Health,High
Every day it's the same: I feel completely insecure and unloved when I compare myself online right now.,Self-Esteem & Empowerment,Medium
"Lately, I am being evicted because I cannot pay rent",Financial & School Fees,High
I need to vent: Severe panic attacks are making it impossible to breathe. I just want things to get better.,Mental Health,High
I feel confused about transitioning from school to the workforce. I feel stuck.,Career & Future,Low
I want to find a mentor to guide my career and I don't know what to do.,Career & Future,Low
"I feel like I want to become a stronger, more confident girl which makes everything worse.",Self-Esteem & Empowerment,Low
"Please help, I don't have access to clean drinking water and I am sick. I just want things to get better.",Hygiene & Health,High
